Населённый пункт,Регион,Код ИАТА,Код ИКАО,Внутр. код,Название аэропорта,"Длина ВПП, м","Ширина ВПП, м",Статус,Сайт
Хатанга,Красноярский край,HTG,UOHH,ХАТ,Хатанга,2506 м,,,
Херпучи,Хабаровский край,,UHNH,ХРП,Херпучи,1050 м,,,
Чара,Читинская область,,UIAR,ЧАР,Чара,1800 м,,,
Чебоксары,Чувашия,CSY,UWKS,ЧБЕ,Чебоксары,2512 м,49 м,"межд., фед. знач.",gov.cap.ru
Челябинск,Челябинская область,CEK,USCC,ЧЛБ,Челябинск,3200 м,60 м,"межд., фед. знач.",cekport.ru
Череповец,Вологодская область,CEE,ULWC,ЧРВ,Череповец,2523 м,42 м,"межд., фед. знач.",severstal-avia.ru
Черский,Якутия,CYX,UESS,ЧРС,Черский,1700 м,,,aerosever.ru
Чита,Читинская область,HTA,UIAA,СХТ,Кадала,2800 м,56 м,"межд., фед. знач.",aerochita.ru
Чокурдах,Якутия,CKH,UESO,ЧКД,Чокурдах,2000 м,,,aerosever.ru
Чумикан,Хабаровский край,,UHHY,ЧМИ,Чумикан,850 м,,,
Шахтерск,Сахалинская область,EKS,UHSK,ШАХ,Шахтёрск,1700 м,,,
Шушенское,Красноярский край,,UNAU,ШУШ,Шушенское,1800 м,,,shushair.ru
Щёлково,Московская область,CKL,UUMU,,Чкаловский,3632 м,,,
Экимчан,Амурская область,,UHBP,ЭМП,Экимчан,1435 м,,,
Элиста,Калмыкия,ESL,URWI,ЭЛИ,Элиста,2200 м,45 м,"межд., фед. знач.",aero-elista.narod.ru
Южно-Курильск,Сахалинская область,DEE,UHSM,ЮЖК,Менделеево,2055 м,,,
Южно-Сахалинск,Сахалинская область,UUS,UHSS,ЮЖХ,Хомутово,4000 м,60 м,"межд., фед. знач.",airportus.ru
"Якутск, город",Якутия,YKS,UEEE,ЯКТ,Якутск,3400 м,60 м,"межд., фед. знач.",yks.aero
"Ямбург, посёлок",Ямало-Ненецкий АО,,USMQ,ЯМБ,Ямбург,2430 м,,,
"Ярославль, город",Ярославская область,,UUBX,ЯРВ,Левцово,1700 м,,,
"Ярославль, город",Ярославская область,IAR,UUDL,ЯРТ,Ярославль (Туношна),3000 м,44 м,"межд., фед. знач.",iar.aero
